CSDUID,Unnamed: 0,Geography,Unnamed: 2,graph2_cwbwiz,graph2_education,graph2_housing,graph2_income,graph2_jobs,graph_cwb,graph_education,graph_housing,graph_income,graph_jobs,year,lat,lon,pop,log_std
1307008,327,Sackville ,P,2,3,1,2,2,2,3,1,2,2,2006,45.98598660537427,-64.36463190516456,1336.0,32.29963472336928
1307009,328,Sackville ,T,1,1,3,2,2,1,1,3,2,2,2006,45.916896971284096,-64.38943847924034,5558.0,56.67280816255279
1307011,329,Dorchester ,P,2,2,2,2,1,1,2,1,2,1,2006,45.951592165096734,-64.53207902769843,477.0,15.0
1307012,330,Dorchester ,VL,2,2,4,2,2,2,1,4,2,3,2006,45.904065961795226,-64.51157427183766,1167.0,29.987334490189156
1307013,331,Memramcook ,VL,2,2,3,1,1,1,2,2,1,1,2006,45.99196813393761,-64.59049267753655,4831.0,54.27602813333393
1307016,332,Shediac ,P,2,2,3,2,2,2,2,3,1,2,2006,46.20072439428546,-64.61321559075671,4917.0,54.57771145664023
1307019,333,Moncton ,P,1,2,2,1,1,1,2,2,1,1,2006,46.17465933870253,-64.89460868904399,9421.0,65.69509431833923
1307022,334,Moncton ,C,2,1,3,3,2,2,1,4,4,1,2006,46.11651953396123,-64.8126662480869,69074.0,99.7569374354429
1307024,335,Salisbury ,P,3,3,4,2,2,3,3,4,2,2,2006,46.077586064958254,-65.19969380721972,3417.0,48.355401120527056
1307028,336,Salisbury ,VL,3,2,3,3,2,3,2,3,3,2,2006,46.03772836085357,-65.04778308735972,2208.0,40.88943047100189
1307029,337,Petitcodiac ,VL,2,2,2,3,2,1,2,2,3,2,2006,45.93784504581882,-65.17520627905998,1429.0,33.45019339447764
1307045,338,Dieppe ,C,1,1,3,1,1,1,1,3,1,1,2006,46.08590243681398,-64.69039800318478,23310.0,81.18422793569238
1307052,339,Shediac ,T,2,2,3,3,2,2,1,4,3,2,2006,46.17897133808482,-64.5197593443621,6053.0,58.13147461332537
1308001,340,Dundas ,P,2,2,2,2,2,2,2,2,1,2,2006,46.315718983996724,-64.69444469112713,6282.0,58.76637170216203
1308004,341,Wellington ,P,2,3,3,2,3,3,3,3,2,3,2006,46.476950322164946,-64.74793425383648,3327.0,47.89904084201155
1308005,342,Bouctouche ,TV,4,3,4,4,3,4,4,4,4,3,2006,46.47037546150883,-64.73707250190441,2423.0,42.47809830128189
1308006,343,Saint Mary ,P,2,3,1,2,3,2,3,1,2,3,2006,46.3987159566291,-64.86809085984166,2008.0,39.26607886661694
1308007,344,Saint-Antoine ,VL,2,3,3,3,2,2,3,3,3,1,2006,46.364200331434596,-64.75337809451737,1770.0,37.10909149349666
1308008,345,Saint-Paul ,P,3,4,1,2,3,3,4,1,2,4,2006,46.331036508291874,-65.00862005743397,866.0,24.887099909279353
1308010,346,Harcourt ,P,4,3,3,4,4,4,3,3,4,4,2006,46.37657094245643,-65.44838413223067,390.0,15.0
1308014,347,Weldford ,P,3,3,3,3,3,4,4,3,3,4,2006,46.522224745479555,-65.11157862466742,1318.0,32.06771624625359
1308016,348,Richibucto ,P,3,4,2,2,3,4,4,2,2,4,2006,46.618899724458174,-64.83851515639714,1986.0,39.07772431582356
1308017,349,Rexton ,VL,3,1,3,3,3,3,1,4,4,3,2006,46.6484227934905,-64.87930138384087,818.0,23.912168839102794
1308018,350,Richibucto ,TV,4,3,3,4,4,4,4,3,4,4,2006,46.680228360260806,-64.88042671282409,1286.0,31.64748536273339
1308019,351,Saint-Charles ,P,3,3,2,2,3,3,4,2,2,3,2006,46.669169819794625,-65.01836801780196,1982.0,39.04325397481142
1308021,352,Saint-Louis ,P,3,4,3,3,3,4,4,3,3,4,2006,46.7048424947124,-65.1045490806411,1741.0,36.82664632505937
1308022,353,Saint-Louis de Kent ,VL,4,3,4,4,4,4,3,4,4,4,2006,46.73881710842336,-64.97672127063089,930.0,26.10613069975647
